GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fresnel Backend,org.fresnel.backend.docs,FresnelDocumentationRenderer.Row,0,9,0,0,0,1,0,1,0,1
Fresnel Backend,org.fresnel.backend.docs,FresnelDocumentationManifest.Artifact,10,46,3,3,2,7,3,1,0,1
Fresnel Backend,org.fresnel.backend.docs,FresnelDocsCli.PlannedJob,12,0,0,0,1,0,1,0,1,0
Fresnel Backend,org.fresnel.backend.docs,FresnelDocumentationFiles,86,223,13,17,8,47,13,12,0,10
Fresnel Backend,org.fresnel.backend.docs,FresnelDocumentationManifest.Example,22,59,6,6,4,11,6,1,0,1
Fresnel Backend,org.fresnel.backend.docs,FresnelDocumentationManifest,14,23,4,4,2,6,4,2,0,2
Fresnel Backend,org.fresnel.backend.docs,FresnelDocumentationManifestService,53,294,11,23,8,74,11,12,0,6
Fresnel Backend,org.fresnel.backend.docs,FresnelDocumentationRenderer,57,552,27,61,11,117,25,34,0,15
Fresnel Backend,org.fresnel.backend.docs,FresnelDocsCli,717,0,49,0,154,0,43,0,15,0
Fresnel Backend,org.fresnel.backend.persistence,DesignEntity,37,57,2,2,10,19,12,8,10,8
Fresnel Backend,org.fresnel.backend.persistence,RenderJobEntity,31,79,1,1,10,23,11,16,10,16
Fresnel Backend,org.fresnel.backend.persistence,RenderJobEntity.State,0,27,0,0,0,1,0,1,0,1
Fresnel Backend,org.fresnel.backend.desktop,FresnelDesktopLauncher.PrimaryNotReadyException,4,0,0,0,2,0,1,0,1,0
Fresnel Backend,org.fresnel.backend.desktop,DesktopOpenQueue,53,269,25,43,5,59,24,21,0,11
Fresnel Backend,org.fresnel.backend.desktop,DesktopOpenQueue.PendingOpen,0,9,0,0,0,1,0,1,0,1
Fresnel Backend,org.fresnel.backend.desktop,DesktopOpenResult,9,49,5,5,2,7,5,3,0,3
Fresnel Backend,org.fresnel.backend.desktop,DesktopDataDirectory,16,111,6,16,3,19,7,7,1,2
Fresnel Backend,org.fresnel.backend.desktop,DesktopInstanceMetadata,41,116,9,9,8,23,9,4,0,4
Fresnel Backend,org.fresnel.backend.desktop,DesktopBrowser,80,80,13,13,18,22,12,8,3,4
Fresnel Backend,org.fresnel.backend.desktop,DesktopLaunchRequest,55,200,11,35,9,50,11,16,0,4
Fresnel Backend,org.fresnel.backend.desktop,PrimaryInstanceCoordinator,24,227,7,11,8,60,7,13,0,11
Fresnel Backend,org.fresnel.backend.desktop,FresnelDesktopLauncher,430,0,44,0,120,0,37,0,15,0
Fresnel Backend,org.fresnel.backend.desktop,DesktopOpenClient,72,156,15,15,14,43,15,11,2,9
Fresnel Backend,org.fresnel.backend.desktop,DesktopDiagnostics,14,121,5,7,3,26,5,8,0,7
Fresnel Backend,org.fresnel.backend.desktop,DesktopOpenController,19,150,6,14,4,37,6,13,0,9
Fresnel Backend,org.fresnel.backend.config,WebConfig,4,48,3,3,1,9,3,2,0,2
Fresnel Backend,org.fresnel.backend.config,SpaController,0,5,0,0,0,2,0,2,0,2
Fresnel Backend,org.fresnel.backend.jobs,RenderJob.State,0,27,0,0,0,1,0,1,0,1
Fresnel Backend,org.fresnel.backend.jobs,RenderJob,87,106,12,4,19,30,13,13,6,12
Fresnel Backend,org.fresnel.backend.jobs,RenderJobService,116,241,16,10,25,57,17,12,4,11
Fresnel Backend,org.fresnel.backend.api,DesignDocument,0,40,5,7,0,7,5,3,0,2
Fresnel Backend,org.fresnel.backend.api,DesignController,163,617,12,23,24,128,19,36,7,28
Fresnel Backend,org.fresnel.backend.api,CalibrationSheetRequest,2,33,1,1,0,4,1,2,0,2
Fresnel Backend,org.fresnel.backend.api,CandidateDesignDto,0,24,0,0,0,1,0,1,0,1
Fresnel Backend,org.fresnel.backend.api,FresnelJobDocument.ProductionPlan,0,16,0,2,0,5,0,2,0,1
Fresnel Backend,org.fresnel.backend.api,FresnelJobExecutor,257,837,43,73,50,184,41,49,1,25
