GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fresnel Measurement Core,org.fresnel.measurement,CapturePlan.Step,0,92,0,16,0,15,0,9,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.Device,0,45,0,0,0,8,0,2,0,2
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider,42,76,12,14,6,18,12,7,0,6
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.SessionStatus,5,90,3,15,1,15,3,8,0,2
Fresnel Measurement Core,org.fresnel.measurement,CaptureProviderException,12,68,3,5,3,15,4,8,1,7
Fresnel Measurement Core,org.fresnel.measurement,CapturePlan.ImageFormat,0,21,0,0,0,4,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CapturePlan.WorkflowType,0,15,0,0,0,3,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.StepTrigger,0,43,0,8,0,8,0,5,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.Event,0,60,0,4,0,11,0,3,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.Capability,0,57,0,0,0,10,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.SessionRef,0,25,0,0,0,5,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.EventPage,10,72,3,9,2,15,3,4,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.AssetMetadata,0,117,4,12,0,18,4,5,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.ByteRange,0,44,0,6,0,9,0,5,0,2
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.Failure,0,23,0,0,0,5,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.Limits,0,47,1,9,0,9,1,5,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.FailureCode,0,69,0,0,0,12,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.SessionState,0,82,2,4,0,13,2,3,0,2
Fresnel Measurement Core,org.fresnel.measurement,CapturePlan.TriggerMode,0,15,0,0,0,3,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CapturePlan.Role,0,33,0,0,0,6,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CapturePlan,12,338,7,52,2,72,7,36,0,13
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.StepResult,0,53,0,4,0,10,0,3,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.Descriptor,0,70,1,5,0,12,1,4,0,2
Fresnel Measurement Core,org.fresnel.measurement,CapturePlan.Requirements,0,16,0,0,0,3,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.DeviceState,0,27,0,0,0,5,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,MeasurementSessionState,0,76,0,6,0,12,0,5,0,2
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.FullAsset,0,9,0,0,0,2,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.HealthState,0,51,0,0,0,9,0,1,0,1
Fresnel Measurement Core,org.fresnel.measurement,CaptureProvider.Health,0,39,0,4,0,7,0,4,0,2
