GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fresnel Optics Core,org.fresnel.optics,AxisQuantity,0,21,0,0,0,4,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingAnalysis.ThresholdCrossing,0,18,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,PropagationMode,0,15,0,0,0,3,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,ProgressionDirection,0,15,0,0,0,3,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,DesignAssistant,49,783,11,45,9,131,11,29,0,12
Fresnel Optics Core,org.fresnel.optics,HologramParameters,20,123,6,20,0,19,6,9,0,2
Fresnel Optics Core,org.fresnel.optics,PluginCapability,0,75,0,0,0,13,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,PrinterLanguageDialect,0,9,0,0,0,2,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,DesignMetrics,15,37,2,2,3,4,3,1,1,1
Fresnel Optics Core,org.fresnel.optics,PrinterRasterProfiles,25,31,6,0,4,5,4,1,1,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingSvgExporter,205,556,13,38,26,99,14,23,2,9
Fresnel Optics Core,org.fresnel.optics,MonochromeRaster,28,175,15,23,5,20,16,9,1,5
Fresnel Optics Core,org.fresnel.optics,PclExporter,69,348,14,36,11,81,14,17,0,6
Fresnel Optics Core,org.fresnel.optics,ValidationLayer,0,27,0,0,0,5,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,DesignRecommendation,0,12,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,PngExporter,0,96,0,0,0,24,0,3,0,3
Fresnel Optics Core,org.fresnel.optics,RecommendationReason,0,9,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingAnalysis,19,245,6,24,1,42,6,13,1,3
Fresnel Optics Core,org.fresnel.optics,ValidationResult.Warning,0,12,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,DesignMetrics.ChromaticShift,0,9,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,RgbZonePlateRenderer,5,185,6,12,1,32,6,5,0,2
Fresnel Optics Core,org.fresnel.optics,PropagationParameters,15,66,3,11,0,9,3,5,0,1
Fresnel Optics Core,org.fresnel.optics,CalibrationSheetGenerator.CalibrationSheetParameters,12,78,8,16,2,10,8,6,0,2
Fresnel Optics Core,org.fresnel.optics,PropagationSimulator,11,584,3,41,2,93,3,26,0,7
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingValidation.Bounds,0,15,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingRasterizer,5,578,4,29,1,82,4,22,0,9
Fresnel Optics Core,org.fresnel.optics,OpticalQualityReport,0,39,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,MultiFocusRenderer,35,275,9,19,3,53,7,9,0,2
Fresnel Optics Core,org.fresnel.optics,PdfExporter.SheetSize,0,62,0,0,0,8,0,2,0,2
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingRasterizer.AxisLabel,0,9,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,PdfExporter,5,361,3,15,1,53,3,9,0,3
Fresnel Optics Core,org.fresnel.optics,PluginEditorMode,0,21,0,0,0,4,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,PhaseReliefGenerator,10,81,3,9,0,16,3,4,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingAnalysis.Result,0,45,0,0,0,3,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,PluginStabilityLevel,0,21,0,0,0,4,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,DesignValidationReports,89,1264,8,13,14,188,8,13,0,10
Fresnel Optics Core,org.fresnel.optics,CalibrationSheetGenerator,0,901,0,16,0,117,0,21,0,13
Fresnel Optics Core,org.fresnel.optics,HologramSynthesizer,27,504,8,40,4,82,7,20,0,3
Fresnel Optics Core,org.fresnel.optics,MaskType,0,15,0,0,0,3,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,ValidationAssumption,0,12,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,StlExporter.Grid,0,18,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingSvgExporter.AxisLabel,0,9,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,GratingProgression,0,21,0,0,0,4,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,Fft2,6,365,1,25,0,52,1,16,0,4
Fresnel Optics Core,org.fresnel.optics,GerberExporter,2,179,1,15,0,32,1,9,0,2
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingRenderer,0,16,0,0,0,2,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,PluginSchemaDescriptor,22,50,7,7,4,10,7,2,0,2
Fresnel Optics Core,org.fresnel.optics,DesignValidator,5,377,2,14,0,55,2,12,0,6
Fresnel Optics Core,org.fresnel.optics,DesignMetrics.DefocusEntry,0,9,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,Units,0,29,0,2,0,6,0,5,0,4
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingValidation,107,612,12,12,19,100,10,10,0,8
Fresnel Optics Core,org.fresnel.optics,ValidationSeverity,0,21,0,0,0,4,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,SvgExporter,10,305,5,13,2,47,6,9,1,5
Fresnel Optics Core,org.fresnel.optics,PrinterCalibrationResult,58,212,22,24,9,41,22,6,0,5
Fresnel Optics Core,org.fresnel.optics,WindowFoilParameters.CellSpec,5,23,1,1,0,4,1,2,0,2
Fresnel Optics Core,org.fresnel.optics,ValidationMetric,0,18,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,DxfExporter,1,111,1,3,0,26,1,6,0,5
Fresnel Optics Core,org.fresnel.optics,AssistantWarning,0,9,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,HexMacroCellParameters,30,96,6,12,0,14,6,5,0,2
Fresnel Optics Core,org.fresnel.optics,StlExporter,39,871,14,36,5,126,14,20,0,9
Fresnel Optics Core,org.fresnel.optics,PluginRegistry,24,273,5,7,6,55,5,11,0,10
Fresnel Optics Core,org.fresnel.optics,HexMacroCellRenderer,35,492,10,40,3,85,8,21,0,4
Fresnel Optics Core,org.fresnel.optics,StlExporter.Vec3,0,12,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,MultiFocusParameters,30,102,7,11,0,16,7,4,0,2
Fresnel Optics Core,org.fresnel.optics,ReliefParameters,0,48,3,9,0,8,3,4,0,1
Fresnel Optics Core,org.fresnel.optics,PluginDescriptor,54,102,16,16,7,17,18,6,2,6
Fresnel Optics Core,org.fresnel.optics,WindowFoilRenderer,40,650,21,49,3,108,19,22,0,6
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingParameters,89,177,18,28,9,33,19,9,1,4
Fresnel Optics Core,org.fresnel.optics,ZonePlateRenderer,26,207,4,20,3,40,3,10,0,1
Fresnel Optics Core,org.fresnel.optics,ValidationResult,10,23,1,1,2,3,2,1,1,1
Fresnel Optics Core,org.fresnel.optics,HologramParameters.OutputType,0,15,0,0,0,3,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,PrinterRasterProfile,60,172,23,29,7,23,23,10,0,7
Fresnel Optics Core,org.fresnel.optics,DesignValidationReport,10,96,5,7,1,13,5,4,0,3
Fresnel Optics Core,org.fresnel.optics,SingleZonePlateParameters,30,59,6,6,0,9,6,2,0,2
Fresnel Optics Core,org.fresnel.optics,WindowFoilParameters,55,96,12,12,2,16,12,3,0,3
Fresnel Optics Core,org.fresnel.optics,CandidateDesign,0,24,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingRasterizer.MutableTarget,0,92,2,10,0,18,2,8,0,4
Fresnel Optics Core,org.fresnel.optics,ValidationResult.Warning.Severity,0,21,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingModel.Interval,5,19,3,3,1,3,3,1,0,1
Fresnel Optics Core,org.fresnel.optics,PclCompression,0,28,0,0,0,7,0,3,0,3
Fresnel Optics Core,org.fresnel.optics,DesignGoal,20,58,4,10,1,8,4,4,0,1
Fresnel Optics Core,org.fresnel.optics,PclPageOrientation,0,28,0,0,0,7,0,3,0,3
Fresnel Optics Core,org.fresnel.optics,MultiFocusParameters.FocusPoint,5,16,1,1,0,3,1,1,0,1
Fresnel Optics Core,org.fresnel.optics,DeviceAxis,0,15,0,0,0,3,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingModel.Layout,0,27,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,VariableLineGratingModel,132,644,27,69,15,112,21,43,1,14
Fresnel Optics Core,org.fresnel.optics,LineOrientation,0,15,0,0,0,3,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,Polarity,0,15,0,0,0,3,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,RasterText5x7,0,1530,0,61,0,46,0,57,0,6
Fresnel Optics Core,org.fresnel.optics,ValidationFinding,0,15,0,0,0,1,0,1,0,1
Fresnel Optics Core,org.fresnel.optics,RenderResult,0,31,0,0,0,5,0,5,0,5
